id,descr,photo,pname,price,cat_id
1,"SM-J8 RAM 4GB ROM 64 GB","https://static.toiimg.com/thumb/resizemode-4,msid-65112599,imgsize-70859,width-720/65112599.jpg","Samsung J8 Galaxy",17000,1
2,"dell laptop 8GB|512GB",https://static.digit.in/default/34a9c45fd2d70c20c576a4eac1c2b8632379f6d8.jpeg,"DELL VOstro",64000,2
4,"Cotton shirt",https://www.raymond.in/sites/default/files/Shirting-image.png,"Raymonds shirt",1000,3
5,"Round neck t-shirt with cotton fabrics",https://5.imimg.com/data5/XG/NP/MY-4314391/round-neck-t-shirts-500x500.jpg,"Round neck T-shirt",200,3
6,"all kinds of boxers",https://hips.hearstapps.com/vader-prod.s3.amazonaws.com/1588280446-best-boxer-shorts-2-1588280439.jpg,Boxers,200,3
7,"Indian Traditional Kurtas and sherwani",https://i.pinimg.com/474x/61/8f/b5/618fb52681172af071de661169cd3c41.jpg,"Manyawar Kurtas",1500,3
8,"Adidas shoes with Red, black, white, color","https://hips.hearstapps.com/hmg-prod.s3.amazonaws.com/images/run-adidas-running-shoes-1645131039.jpg?crop=1.00xw:1.00xh;0,0&resize=1200:*","Adidas Shoes",999,3
9,"PUMA the premium quality men footware.","https://images.puma.com/image/upload/f_auto,q_auto,b_rgb:fafafa,w_2000,h_2000/global/374765/09/sv01/fnd/IND/fmt/png/PUMA-Rebound-JOY-SoftFoam+-Shoes","PUMA footware",1299,3
10,"take control on time with G-SHock",https://5.imimg.com/data5/JI/AI/QT/ANDROID-19051907/product-jpeg-500x500.jpg,G-SHock,5999,3
11,"Titan the class in time. All new watch with shines",https://www.titan.co.in/wps/wcm/connect/titan/daccfa19-863f-46f9-8b9a-b33996629ffd/smartphone/767X695.jpg?MOD=AJPERES&CACHEID=ROOTWORKSPACE.Z18_90IA1H80OO8010QKMQAAEP2004-daccfa19-863f-46f9-8b9a-b33996629ffd-smartphone-n-n9nr8&impolicy=pqlow,"Titan Men Watch",1999,3
12,"Polo since 1893 ",https://5.imimg.com/data5/LV/TM/MY-24783964/collar-neck-polo-t-shirt-500x500.jpg,"Polo T-shirts",999,3
13,"lycra comfort fabrics with descent color catagory",https://img3.junaroad.com/uiproducts/18061757/std_300_1-1635846665.jpg,"Lycra shirts",666,3
14,"Readymade classic salwar suit",https://cdn.shopify.com/s/files/1/1760/4649/products/salwar-suit-chilli-red-salwar-suit-silk-saree-online-30259930169537_363x@3x.progressive.jpg?v=1648502543,"Salwar suit",699,4
15,"beautiful fabrics and colors",https://5.imimg.com/data5/SL/QA/MY-3781862/sleeveless-ladies-kurti-500x500.jpg,"Sleeveless Salwar",599,4
16,"Multicolor Leggins for women",https://images.meesho.com/images/products/83645920/lh45w_512.jpg,leggins,499,4
17,"Girls multicolor cotton t-shirts",https://rukminim1.flixcart.com/image/332/398/kcc9q4w0/t-shirt/s/z/q/s-2co-w-regular-must-blk-young-trendz-original-imafthf9brdq8cfj.jpeg?q=50,"Girls T-shirt",499,4
18,"Indian Sarees",https://cdn.shopify.com/s/files/1/2482/1950/products/0011_Lashkara33-341654_large.jpg?v=1638583571,Saree,799,4
19,"fancy partyware clothes",https://5.imimg.com/data5/AC/BZ/DO/SELLER-99889107/ladies-maroon-one-piece-dress-500x500.jpg,"One piece Gowns",999,4
20,"all new variety ",https://assets.ajio.com/medias/sys_master/root/20210906/NnzE/61362e1daeb269a2688ba454/-288Wx360H-462910552-black-MODEL.jpg,"crop top",399,4
21,"all new long Jeans",https://4.imimg.com/data4/TR/PQ/MY-23829081/1-500x500.jpg,"ladies Jeanes",899,4
22,"Summer collection Hat ",https://img.joomcdn.net/5581386ba24961355499dae1c90e011c061eccff_original.jpeg,"Girls Hat",455,4
23,"Premium quality accessories",https://www.titancompany.in/sites/default/files/533x359_16.jpg,"Titan watch for women",1399,4
24,"(Emerald Brown, 8GB, 128GB Storage) | 5nm Processor | 6000mAh Battery | Voice Focus | Upto 16GB RAM with RAM Plus | Travel Adapter to be Purchased Separately",https://m.media-amazon.com/images/I/81lnKynSaqL._SX679_.jpg,"Samsung Galaxy M33 5G",26499,1
25,"(Space Black, 6GB RAM, 64GB Storage) | 90Hz FHD+ AMOLED Display | Qualcomm® Snapdragon™ 680-6nm | Alexa Built-in | 33W Charger Included | Get 2 Months of YouTube Premium Free!",https://m.media-amazon.com/images/I/411yU+n3UkL._SY300_SX300_.jpg,"Redmi Note 11",13999,1
26,"15 cm (6.1-inch) Super Retina XDR display Cinematic mode adds shallow depth of field and shifts focus automatically in your videos",https://m.media-amazon.com/images/I/61VuVU94RnL._SX679_.jpg,".Apple iPhone 13",71990,1
27," CPU · Snapdragon® 8 Gen 1 Mobile Platform ; GPU · Adreno 730 ; RAM · 8GB/12GB LPDDR5 ; Storage · 128GB/256GB UFS 3.1 2-LANE ; Battery · 5,000 mAh",https://images-eu.ssl-images-amazon.com/images/I/418rmVFVCAL._SX300_SY300_QL70_FMwebp_.jpg,"OnePlus 10 Pro 5G",71999,1
28,"64MP+2MP+2MP Rear Camera | 16MP Selfie Camera 16.37cm (6.44") AMOLED Display with 2400 x 1080 pixels resolution.",https://images-eu.ssl-images-amazon.com/images/I/31MyZr2OgeS._SX300_SY300_QL70_FMwebp_.jpg,"Vivo Y73",19900,1
29,"6.49" Inch (16.5cm) FHD+ Punch-hole Display with 2400x1080 pixels. Larger screen to body ratio of 90.5%.|Side Fingerprint Sensor. Bluetooth Audio Codec: SBC, AAC, APTX HD, LDAC",https://images-eu.ssl-images-amazon.com/images/I/41iHN9Y07cS._SX300_SY300_QL70_FMwebp_.jpg,"OPPO A74 5G",14999,1
30,"Snapdragon 695 5G Mobile Platform allows you to level up your performance with efficient 6nm Process, with an ANTUTU Score of 410563. Also, we get a 15% improved CPU performance & improved 30% GPU performance",https://m.media-amazon.com/images/I/41OaM+9ZHXL._SY300_SX300_.jpg,"vivo iQOO Z6 5G",17999,1
31,"Processor: Qualcomm Snapdragon 888 (SM8350) Processor Camera: 64MP + 13MP + 5MP Rear Camera & 24MP Front Camera",https://images-eu.ssl-images-amazon.com/images/I/31bI5ggiTtL._SX300_SY300_QL70_FMwebp_.jpg,"Asus ROG 5",41999,1
32,"4 GB RAM | 64 GB ROM | Expandable Upto 512 GB 16.59 cm (6.53 inch) HD+ Display 13MP + 2MP + 2MP | 5MP Front Camera",https://images-eu.ssl-images-amazon.com/images/I/41UhF7l9I4L._SX300_SY300_QL70_FMwebp_.jpg,"POCO C31",9999,1
33,"Snapdragon 870 5G Mobile Platform which is a 7nm process technology, It is equipped with A77 architecture adopts a large core clocked at 3.2GHz, a middle core at 2.42GHz, and a small core at 1.8GHz.",https://m.media-amazon.com/images/I/71HSkLoLDLL._SX679_.jpg,"iQOO Neo 6 5G",29999,1
34,"Intel® Core™ i5-1240P processor (12 MB Smart Cache, 1.7 GHz Performance-core with Intel® Turbo Boost Technology 2.0 up to 4.4 GHz), supporting hybrid core architecture with Performance-core and Efficient core WIndows 11 Home",https://static-ecapac.acer.com/media/catalog/product/cache/a17a77e026ef2eddd3ecae104c32cc71/s/f/sf314-512_1.jpg,"Acer Swift 3 SF314-512",74999,2
35,"They say life is full of compromises. They say you can’t have high performance and long battery life on the same notebook. They say that a high-performance gaming laptop has to be big, bulky, and heavy.",https://m.media-amazon.com/images/I/71IGKyL5DhL._SL1500_.jpg,"Legion 5 Gen 6",137990,2
36,"Mi NoteBook Pro Lustrous Gray i5 11th Gen + Iris Xe Graphics 8GB RAM + 512GB NVMe SSD",https://i01.appmifile.com/v1/MI_18455B3E4DA706226CF7535A58E875F0267/pms_1648710116.97884839.jpg,"Mi NoteBook Pro",56999,2
37,"Get more done wherever you go with the HP Pavilion 14" Laptop PC. Powered by a reliable AMD Processor[1], experience a laptop that can keep up with you.",https://in-media.apjonlinecdn.com/catalog/product/cache/74c1057f7991b4edb2bc7bdaa94de933/6/8/689H4PA-1_T1656563631.png,"HP Pavilion Laptop 14-ec1003AU",52999,2
38,"Less border, more pixels: Enjoy a screen that seems endless with a 3-sided InfinityEdge display, enabling a 33.78cm (13.3) screen in an 27.94cm (11) form factor with an 80.7% screen-to-body ratio. .","https://static.toiimg.com/thumb/resizemode-4,msid-83235844,imgsize-2803081,width-720/83235844.jpg","Dell XPS 13 Laptop",99999,2
39,"Shiva Trilogy: Combo of The Immortals of Meluha, The Secret of Nagas and The Oath of the Vayuputras The Immortals of Meluha 1900 BC. In what modern Indians mistakenly call the Indus Valley Civilisation.",https://m.media-amazon.com/images/I/71Hu4rGRiKL._AC_UY218_.jpg,"Shiva Triology Set of 3 books by Amish Tripathi",2999,5
40,"This book evolved from Robert Greene’s association with a book packager named Joost Elffers. Together, they framed the 48 laws which dictated who would have most power.",https://rukminim1.flixcart.com/image/416/416/l3vxbbk0/book/c/d/h/the-48-laws-of-power-original-imagewfsbgef4ghr.jpeg?q=70,"The 48 Laws Of Power  (English, Paperback, Greene Robert)",1599,5
41,"Who Will Cry When You Die? Is a book that has transformed the lives of thousands. It will be the guiding light that leads you to a path that takes you on a journey of discovering a new way to live.",https://rukminim1.flixcart.com/image/416/416/kplisnk0/book/1/o/h/who-will-cry-when-you-die-original-imag3shejezfsfgr.jpeg?q=70,"Who Will Cry When You Die?  (English, Paperback, Sharma Robin S.)",1500,5
42,"Discover the teachings of one of the greatest generals to have walked the planet, Sun Tzu. The Art of War is one of the most famous and most informative texts on warfare.",https://rukminim1.flixcart.com/image/416/416/kqidx8w0/book/2/o/d/the-art-of-war-original-imag4g5zjwyvrwaa.jpeg?q=70,"The Art of War  (English, Paperback, Tzu Sun)",1299,5
43,"This book is Chanakya’s lesser known treatise on the Indian way of life. In it, he writes about the ideal way of life and presents short lessons on almost every sphere of life.",https://rukminim1.flixcart.com/image/416/416/ki214sw0-0/book/k/q/m/chanakya-neeti-original-imafxxqmyzdea7qp.jpeg?q=70,"Chanakya Neeti  (English, Paperback, Pillai Radhakrishnan)",999,5
44,"Enjoy powerful, deep bass to clear treble through two-way dynamic speakers. The Galaxy Buds2 gives you well-balanced sound quality that enriches every moment of your audio journey. Hear like you’re there",https://images.samsung.com/is/image/samsung/p6pim/in/2108/gallery/in-galaxy-buds2-r177-sm-r177nlvainu-481740566?$1300_1038_PNG$,"Galaxy Buds2	",11999,7
45,"Using headsets in the office is a key part of the modern workday. VOIP calls are quickly replacing traditional phone services and helping companies save on big telecom costs. The Lenovo Essential Stereo Analogue Headset is made for VOIP",https://www.lenovo.com/medias/GXD1B60597_500.png,"Lenovo 100 Stereo Analogue Headset",1743,7
46,"The game begins here. With Immortal 1000D gaming headphones, don’t just play the game - feel it, live it, and own it",https://cdn.shopify.com/s/files/1/0057/8938/4802/products/2_f3aa2756-01f3-4e39-80bc-7b4f6551c7aa_600x.png?v=1625748159,"boAt Immortal 1000D",2299,7
47,"LOGITECH G733 LIGHTSPEED WIRELESS RGB GAMING HEADSET – WHITE",https://elitehubs-816f.kxcdn.com/wp-content/uploads/2022/06/36509_500.jpg,"Logitech G733",77990,7
48," JBL has engineered the precise, impressive sound found in big venues around the world. These headphones reproduce that same JBL sound, punching out bass that’s both deep and powerful.",https://in.jbl.com/dw/image/v2/AAUJ_PRD/on/demandware.static/-/Sites-masterCatalog_Harman/default/dw40cc9388/450BT_black_angle_01-1606x1606px.png?sw=537&sfrm=png,"JBL T450BT",2399,7
49,"Badminton Racquet Set Of 2 Piece With 6 Piece With Nylon Shuttle Cock",https://rukminim1.flixcart.com/image/416/416/k4x2du80/kit/m/y/3/badminton-racquet-set-of-2-piece-with-6-piece-with-nylon-shuttle-original-imafnptyhhvhhbtn.jpeg?q=70,"SBM Badminton Racquet Set Of 2 Piece With 6 Piece With Nylon Shuttle Cock Badminton Kit",3999,6
50,"CEAT cricket bat size no- 6",https://rukminim1.flixcart.com/image/416/416/k4x2du80/kit/m/y/3/badminton-racquet-set-of-2-piece-with-6-piece-with-nylon-shuttle-original-imafnptyhhvhhbtn.jpeg?q=70,"CEAT POPLAR WILLOW CRICKET BAT (No- 6) Poplar Willow Cricket Bat  (0.900 g)",4444,6
51,"5 Feet Unfilled Bag with Skipping Rope + Boxing Glove+Hand Gripper+Hand Wrap+Mouth Guard +Hanging Chain",https://rukminim1.flixcart.com/image/416/416/kzpw2vk0/punching-bag/3/p/d/5-feet-unfilled-5-feet-boxing-punching-bag-combo-with-gloves-original-imagbnwsy4pwzzzj.jpeg?q=70,"Aurion Unfilled 5 Feet Boxing Punching Bag Combo with Gloves, Chain and Accessories Hanging Bag  (5 Feet, 60 inch)",7999,6
52,""13X 13"inch Wooden Folding Chess Set, Handmade, Without Magnetic 33.02 cm Chess Board  (Brown)",https://rukminim1.flixcart.com/image/416/416/kxjav0w0/board/c/g/v/13x-13-inch-wooden-folding-chess-set-handmade-without-magnetic-1-original-imag9ytfhdnqwzyq.jpeg?q=70,"13 inch Chess Board, 32 Chessmen",3599,6
53,"A baseball bat is a smooth wooden or metal club used in the sport of baseball to hit the ball after it is thrown by the pitcher",https://static.toiimg.com/photo/msid-74609586/74609586.jpg,"Roxon WOODEN BASEBALL BAT Willow Baseball Bat  (800 g)",4545,6
54,"Easy grip, ready to use 20 wax strips Gives beautiful smooth skin for up to 4 weeks in easy steps in the comfort of your home. Effective at pulling out hair as short as 1.5mm",https://images-eu.ssl-images-amazon.com/images/I/41USQNQPGqL._SX300_SY300_QL70_FMwebp_.jpg,"Veet Full Body Waxing Kit - Sensitive Skin (20 strips)",198,8
55,"RECHARGEABLE SMART TOOTHBRUSH: Rilapp ROC002 is an innovative rechargeable power toothbrush that combines unique, multi-directional brush strokes with soft DuPont bristles for superior cleaning.","https://m.media-amazon.com/images/I/71YYqX0OorL._SX466_PIbundle-6,TopRight,0,0_AA466SH20_.jpg","Rilapp ROC002 Rechargeable Sonic Electric ToothBrush",2000,8
56,"Gold Standard Whey Blend – 24g blended protein consisting of whey protein isolate, whey protein concentrate, and whey peptides to support lean muscle mass – they don't call it the Gold Standard of standard for nothing",https://m.media-amazon.com/images/I/61u-qC6Z-mL._AC_SX522_.jpg,"Optimum Nutrition (ON) Gold Standard Whey Protein Powder",6884,8
57,"Get the NIVEA Deep Impact Roll-on and kick off the day with new-found confidence. The effective Antibacterial Formula",https://m.media-amazon.com/images/I/611XEa+OtsL._SX569_.jpg,"Nivea Deep Impact Freshess",130,8
58,"Contains 8 units of Cinthol Original Deodorant and Complexion soap (100g each) HIGH QUALITY: High TFM (Grade 1 soap) that keeps your skin healthy and glowing","https://m.media-amazon.com/images/I/61Z1wAoMoLL._SX569_PIbundle-8,TopRight,0,0_AA569SH20_.jpg","Cinthol Original Bath Soap",280,8
59," HD Ready (1366x768) | Refresh Rate: 50 hertz Connectivity: 2 HDMI ports to connect set top box, Blu Ray players, gaming console | 1 USB ports to connect hard drives and other USB devices",https://images-eu.ssl-images-amazon.com/images/I/51STyIbNXuL._SY300_SX300_QL70_FMwebp_.jpg,"LG TV Set",16499,9
60,"Split AC with inverter compressor: Variable speed compressor which adjusts power depending on heat load. Capacity: 0.8 Ton Suitable for small sized rooms (up to 100 sq.ft)",https://m.media-amazon.com/images/I/314is+6QXtL._SX342_SY445_.jpg,"Blue Star AC",28999,9
61,"Direct Cool Refrigerator: Economical and stylish Capacity 190 liters: Suitable for families with 2 to 3 members and bachelors | Freezer capacity: 22.5L, Fresh food capacity: 167.5L",https://images-eu.ssl-images-amazon.com/images/I/41wa2gZtghL._SX342_SY445_QL70_FMwebp_.jpg,"LG Refrigerator 190L",17690,9
62,"Wattage: 150 W; Voltage: 220-240V, 50-60Hz ; Revolution: 1300. Safety Lock:No No of Jars: 1; Jar Size: 2 Liters; Jar Material: Stainless Steel; Body Material: ABS body; Cord Material: 180 CM; Speed Control: 1 Speed Control",https://m.media-amazon.com/images/I/71WaBDJdTIL._SX466_.jpg,"Butterfly Rhino Plus Wet Grinder",4200,9
63,"Fully-automatic Front load washing machine: Best Wash Quality with Energy and Water efficient Capacity 9 kg : Suitable for large families",https://images-eu.ssl-images-amazon.com/images/I/41JVDkY6rjL._SX342_SY445_QL70_FMwebp_.jpg,"Samsung 9 Kg 5 Star Fully-Automatic Front Loading Washing Machine",35000,9
